Username,Password,Role,Email,Phone,Status,UserID
user1,pass1,Admin,user1@example.com,9987775532.0,Inactive,
user2,pass2,Admin,user2@example.com,9874326197.0,Inactive,
user3,pass3,Staff,user3@example.com,9580357382.0,Inactive,
user4,pass4,Staff,user4@example.com,9525190609.0,Active,
user5,pass5,Staff,user5@example.com,9474399458.0,Active,
user6,pass6,Staff,user6@example.com,9697702493.0,Inactive,
user7,pass7,Staff,user7@example.com,9473370426.0,Active,
user8,pass8,Staff,user8@example.com,9629199082.0,Active,
user9,pass9,Staff,user9@example.com,9561806679.0,Active,
user10,pass10,Staff,user10@example.com,9630845806.0,Active,
user11,pass11,Staff,user11@example.com,9399378123.0,Active,
user12,pass12,Staff,user12@example.com,9580720777.0,Active,
user13,pass13,Staff,user13@example.com,9357076239.0,Active,
user14,pass14,Staff,user14@example.com,9224826981.0,Inactive,
user15,pass15,Staff,user15@example.com,9390228469.0,Inactive,
user16,pass16,Staff,user16@example.com,9136727662.0,Active,
user17,pass17,Staff,user17@example.com,9761760035.0,Active,
user18,pass18,Staff,user18@example.com,9315778692.0,Inactive,
user19,pass19,Staff,user19@example.com,9508079746.0,Inactive,
user20,pass20,Staff,user20@example.com,9822721510.0,Inactive,
admin1,adminpass,Admin,,,Active,101.0
staff1,staff123,Staff,,,Active,102.0
staff2,staff456,Staff,,,Inactive,103.0
admin2,admin2024,Admin,,,Active,104.0
clerk1,clerk2024,Staff,,,Active,105.0
